stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
KERAV_2,,Keravel,,48.37771,-4.371935,,,0,,,0,,
COAT_TR,,Coat Tan,,48.386032,-4.533627,,,0,,,1,,
PLCALV_1,,Calvaire,,48.374187,-4.368827,,,0,,,0,,
PLCALV_2,,Calvaire,,48.373886,-4.368655,,,0,,,0,,
GFM_1,,GFM,,48.388786,-4.493943,,,0,,,0,,
CUIRA_1,,Cuirassé,,48.404102,-4.496799,,,0,,,1,,
SOURCE_2,,La Source,,48.43011,-4.555627,,,0,,,1,,
BARBE_1,,Ste Barbe,,48.400757,-4.419342,,,0,,,0,,
FLLERE_1,,Feuillère,,48.39128,-4.534514,,,0,,,1,,
COATY_1,,Coat ty Ogant,,48.41815,-4.548626,,,0,,,0,,
MEDATQ_2,,Médiathèque,,48.402355,-4.391443,,,0,,,1,,
KRUCH_1,,Keruchen,,48.42784,-4.47177,,,0,,,1,,
BERGOT_2,,Bergot,,48.4072,-4.51018,,,0,,,1,,
SCHUM_1,,Schuman,,48.39821,-4.407465,,,0,,,0,,
MESME_TR,,Mesmerrien,,48.41966,-4.467693,,,0,,,1,,
CUIRA_2,,Cuirassé,,48.404076,-4.497022,,,0,,,1,,
SOURCE_1,,La Source,,48.430252,-4.556589,,,0,,,1,,
BARBE_2,,Ste Barbe,,48.400986,-4.419227,,,0,,,0,,
MESME_TA,,Mesmerrien,,48.41965,-4.467613,,,0,,,1,,
BOUDOT_1,,Baudot,,48.423683,-4.489884,,,0,,,1,,
PENFLD_1,,Penfeld,,48.40993,-4.53267,,,0,,,1,,
PALAR_4,,Palaren,,48.3971,-4.436246,,,0,,,1,,
KROUX_TA,,Keranroux,,48.38226,-4.539511,,,0,,,1,,
KRUCH_2,,Keruchen,,48.427986,-4.471883,,,0,,,1,,
BERGOT_1,,Bergot,,48.40728,-4.509761,,,0,,,1,,
PALAR_3,,Palaren,,48.397312,-4.436364,,,0,,,1,,
POST15_1,,Poste 15,,48.39505,-4.5061,,,0,,,0,,
KROUX_TR,,Keranroux,,48.382298,-4.539564,,,0,,,1,,
DEMY_2,,Demy,,48.392532,-4.529532,,,0,,,1,,
GORGEU_1,,Le Gorgeu,,48.404625,-4.505812,,,0,,,1,,
B_OUES_2,,Quatre Pompes,,48.36614,-4.525312,,,0,,,0,,
PTGOU_TR,,Porte de Gouesnou,,48.430874,-4.468036,,,0,,,1,,
DEMY_1,,Demy,,48.39297,-4.529135,,,0,,,1,,
PENFLD_2,,Penfeld,,48.410427,-4.532126,,,0,,,1,,
B_OUES_1,,Quatre Pompes,,48.366203,-4.525324,,,0,,,0,,
POULL_1,,Poull-Pren,,48.427036,-4.567111,,,0,,,1,,
DAURAT_1,,Daurat,,48.425137,-4.555649,,,0,,,1,,
BSSAIS_2,,Broussais,,48.422558,-4.494125,,,0,,,0,,
KGUILO_2,,Kerguillo,,48.41848,-4.523891,,,0,,,1,,
PAF_1,,Poul Ar Feunteun,,48.424057,-4.485956,,,0,,,1,,
POULL_2,,Poull-Pren,,48.426945,-4.56703,,,0,,,1,,
WAGNER_2,,Wagner,,48.39486,-4.528595,,,0,,,1,,
CHAPEL_1,,Chapelle,,48.42666,-4.516857,,,0,,,1,,
BSSAIS_1,,Broussais,,48.422947,-4.493783,,,0,,,0,,
KGUILO_1,,Kerguillo,,48.41841,-4.523543,,,0,,,1,,
MENEZ_TR,,Menez Paul,,48.406757,-4.467858,,,0,,,0,,
MESDOU_5,,Porte de Mesdoun,,48.37351,-4.52332,,,0,,,0,,
MENEZ_TA,,Menez Paul,,48.406765,-4.467737,,,0,,,0,,
POSTE4_1,,Poste 4,,48.38485,-4.497735,,,0,,,0,,
PONTA_TR,,Pontanézen,,48.415047,-4.471743,,,0,,,1,,
POSTE4_2,,Poste 4,,48.384884,-4.497648,,,0,,,0,,
PONTA_TA,,Pontanézen,,48.415054,-4.471622,,,0,,,1,,
BOURBO_1,,Bourbonnais,,48.40716,-4.512739,,,0,,,0,,
LIBE_TR,,Liberté,,48.390278,-4.48526,,,0,,,1,,
BOURBO_2,,Bourbonnais,,48.406796,-4.512717,,,0,,,0,,
LIBE_TA,,Liberté,,48.390244,-4.485198,,,0,,,1,,
BSM_1,,BSM,,48.368656,-4.521019,,,0,,,0,,
BSM_2,,BSM,,48.368732,-4.521035,,,0,,,0,,
POST15_2,,Poste 15,,48.395115,-4.50608,,,0,,,0,,
LAGADEA1,,Lagadec,,48.428516,-4.468228,,,0,,,1,,
KERZES_2,,Kerzespez,,48.433018,-4.560368,,,0,,,1,,
GRECO_1,,Le Greco,,48.395626,-4.527332,,,0,,,1,,
HARTEL_3,,Harteloire,,48.39275,-4.490921,,,0,,,1,,
